"tconst","primaryTitle","startYear","runtimeMinutes","genres","directors","writers","averageRating","numVotes"
"tt0062336","The Tango of the Widower and Its Distorting Mirror",2020,"70","Drama","nm0749914, nm0765384","nm0749914, nm1146177",6.4,161
"tt0137204","Joe Finds Grace",2017,"83","Adventure,Animation,Comedy","nm0365480","nm0365480",8.6,291
"tt0385887","Motherless Brooklyn",2019,"144","Crime,Drama,Mystery","nm0001570","nm0001570, nm0504672",6.8,56857
"tt0427543","A Million Little Pieces",2018,"113","Drama","nm0853374","nm1093951, nm0853374, nm0294580",6.2,3290
"tt0437086","Alita: Battle Angel",2019,"122","Action,Adventure,Sci-Fi","nm0001675","nm0000116, nm0436164, nm1738737",7.3,263463
"tt0441881","Danger Close",2019,"118","Action,Drama,War","nm0826541","nm0064181, nm1792356, nm1764825, nm0838283, nm4870103",6.8,12994
"tt0443533","The History of Love",2016,"134","Drama,Romance,War","nm0586123","nm0586123, nm0738925, nm1842569",6.3,1429
"tt0448115","Shazam!",2019,"132","Action,Adventure,Comedy","nm2497546","nm2849655, nm0501359, nm1791910, nm1304148",7,327275
"tt0451201","Clawed",2017,"95","Horror","nm0853204","nm0853204, nm1913942, nm2184396",4,667
"tt0451279","Wonder Woman",2017,"141","Action,Adventure,Fantasy","nm0420941","nm0374302, nm0811583, nm0297229, nm0551376, nm4243936",7.4,647404
"tt0470936","Hot Country, Cold Winter",2016,"104","Drama","nm1596503","nm1596503, nm0238390",4.2,70
"tt0475290","Hail, Caesar!",2016,"106","Comedy,Drama,Mystery","nm0001053, nm0001054","nm0001054, nm0001053",6.3,134335
"tt0490215","Silence",2016,"161","Drama,History","nm0000217","nm0168379, nm0000217, nm0256870",7.1,112235
"tt0491175","Suburbicon",2017,"105","Comedy,Crime,Drama","nm0000123","nm0001054, nm0001053, nm0000123, nm0381416",5.7,44310
"tt0491203","Tulip Fever",2017,"105","Drama,History,Romance","nm0149491","nm0595738, nm0001779",6.2,21201
"tt0493076","Nina",2016,"90","Biography,Drama,Music","nm0607725","nm0607725",5.4,2864
"tt0493405","CHIPS",2017,"100","Action,Comedy,Crime","nm1009277","nm0743121, nm1009277",6,47893
"tt0498381","Rings",2017,"102","Drama,Horror,Mystery","nm1279573","nm0521649, nm1096524, nm0326040, nm0840626",4.5,40632
"tt0499097","Without Remorse",2021,"109","Action,Thriller,War","nm1356588","nm0792263, nm1475436, nm0002007",5.7,57169
